id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,city,state,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,date_listed
241032,"Seattle, Washington, United States",within a few hours,73,85,f,Queen Anne,3.0,3.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,85.0,595.0,2550.0,,,1,207,2011-11-01,2016-01-02,2016-05-30
953595,"Seattle, Washington, United States",within an hour,82,77,t,Queen Anne,6.0,6.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1000.0,3000.0,100.0,40.0,2,43,2013-08-19,2015-12-29,2016-06-26
3308979,"Seattle, Washington, United States",within a few hours,98,94,f,Queen Anne,2.0,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,975.0,6825.0,29250.0,1000.0,300.0,4,20,2014-07-30,2015-09-03,2016-01-30
7421966,"Seattle, Washington, United States",,83,86,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,100.0,650.0,2300.0,,,1,0,,,2016-01-02
278830,"Seattle, Washington, United States",within an hour,88,79,f,Queen Anne,2.0,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,450.0,3150.0,13500.0,700.0,125.0,1,38,2012-07-10,2015-10-24,2016-07-30
5956968,"Seattle, Washington, United States",,88,90,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,800.0,3600.0,,40.0,1,17,2015-06-11,2015-09-28,2016-02-06
1909058,"Seattle, Washington, United States",within an hour,85,79,t,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,575.0,2400.0,150.0,,3,58,2014-01-27,2015-12-07,2016-12-10
856550,"Seattle, Washington, United States",within an hour,78,97,t,Queen Anne,5.0,5.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,60.0,360.0,1800.0,150.0,25.0,2,173,2013-01-03,2016-01-01,2016-07-13
4948745,"Seattle, Washington, United States",,87,88,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,90.0,500.0,1700.0,,,3,8,2015-06-22,2015-08-17,2016-10-14
2493658,"Seattle, Washington, United States",within an hour,97,83,t,Queen Anne,6.0,6.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,1000.0,3000.0,100.0,40.0,2,32,2014-04-27,2015-12-20,2016-05-28
175576,"Seattle, Washington, United States",within a few hours,75,92,t,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95.0,595.0,2850.0,,15.0,3,181,2011-07-21,2015-11-25,2016-04-26
4454295,"Seattle, Washington, United States",within a few hours,71,71,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,99.0,800.0,2000.0,500.0,150.0,3,8,2015-05-06,2015-12-16,2016-12-14
3883392,"Seattle, Washington, United States",within an hour,82,86,t,,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,245.0,1575.0,5800.0,300.0,95.0,3,13,2014-11-09,2015-10-02,2016-03-05
8889257,"Kirkland, Washington, United States",within an hour,91,99,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,165.0,1155.0,5000.0,400.0,85.0,2,3,2015-12-16,2016-01-02,2016-02-02
5680462,"Seattle, Washington, United States",within an hour,78,77,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,16,3.5,6.0,15.0,Real Bed,461.0,3227.0,13830.0,1500.0,300.0,3,18,2015-06-15,2015-11-15,2016-04-08
